user_id,movie_id,rating
ur2326544,tt0377092,9
ur34845698,tt0377092,7
ur61691810,tt0377092,8
ur3032446,tt0377092,8
ur1406078,tt0377092,7
ur20552756,tt0377092,8
ur2022032,tt0377092,9
ur2528239,tt0377092,8
ur95649287,tt0377092,8
ur2488512,tt0377092,7
ur0102816,tt0377092,8
ur2086677,tt0377092,7
ur81755965,tt0377092,10
ur3573110,tt0377092,8
ur7702445,tt0377092,7
ur0937743,tt0377092,7
ur106641918,tt0377092,8
ur0783721,tt0377092,10
ur129931587,tt0377092,8
ur118977607,tt0377092,8
ur75440113,tt0377092,7
ur3914439,tt0377092,10
ur4532636,tt6710474,9
ur1162550,tt6710474,9
ur120413622,tt6710474,9
ur66111139,tt6710474,10
ur117768316,tt6710474,10
ur58447224,tt6710474,9
ur28529233,tt6710474,9
ur59627333,tt6710474,6
ur0278527,tt6710474,9
ur12906670,tt6710474,6
ur1235078,tt6710474,8
ur0806494,tt6710474,6
ur106279729,tt6710474,3
ur15298231,tt6710474,9
ur4645244,tt6710474,9
ur0972645,tt6710474,10
ur1409915,tt6710474,10
ur26226712,tt6710474,6
ur62933173,tt6710474,10
ur23183310,tt6710474,6
ur128484755,tt6710474,8
ur64798417,tt6710474,6
ur1617546,tt6710474,1
ur0547823,tt11127680,9
ur8554198,tt11127680,8
ur29002389,tt11127680,10
ur26163020,tt11127680,8
ur2898520,tt11127680,8
ur133290271,tt11127680,9
ur37688824,tt11127680,8
ur96882753,tt11127680,10
ur8462477,tt11127680,8
ur78124884,tt11127680,10
ur9533068,tt11127680,10
ur130195767,tt11127680,9
ur4103165,tt11127680,8
ur10294945,tt11127680,6
ur4569900,tt11127680,6
ur90286961,tt11127680,10
ur147879251,tt11127680,8
ur124650102,tt11127680,9
ur88577571,tt11127680,10
ur58272712,tt11127680,9
ur25590349,tt11127680,10
ur111351478,tt11127680,10
ur26820801,tt11127680,7
ur44255242,tt11127680,6
ur58898824,tt11127680,6
ur0865972,tt0095444,8
ur2020269,tt0095444,7
ur2248099,tt0095444,6
ur1617546,tt0095444,7
ur0482513,tt0095444,6
ur0011762,tt0095444,7
ur5876717,tt0095444,7
ur3593013,tt0095444,8
ur19752191,tt0095444,8
ur5579155,tt0095444,7
ur2898520,tt0095444,7
ur0435282,tt0095444,10
ur119738762,tt0095444,9
ur2488512,tt0095444,6
ur6201371,tt0095444,7
ur7790394,tt0095444,10
ur133790795,tt0095444,10
ur1355507,tt0095444,7
ur29002389,tt0095444,10
ur1530907,tt0095444,10
ur1591059,tt0095444,10
ur131783850,tt0095444,5
ur2483625,tt0095444,9
ur6233500,tt0095444,8
ur120413622,tt15474916,7
ur12906670,tt15474916,7
ur0001220,tt15474916,6
ur23831033,tt15474916,7
ur104603847,tt15474916,9
ur4103165,tt15474916,7
ur131783850,tt15474916,9
ur106071617,tt15474916,7
ur34790048,tt15474916,5
ur64798417,tt15474916,9
ur27557228,tt15474916,2
ur12048299,tt15474916,8
ur21881328,tt15474916,6
ur30812911,tt15474916,9
ur31117020,tt15474916,3
ur61665472,tt15474916,6
ur26163020,tt15474916,8
ur104763420,tt15474916,5
ur130874290,tt15474916,6
ur61732716,tt15474916,7
ur86230128,tt15474916,5
ur68981404,tt15474916,4
ur15932214,tt15474916,3
ur51415348,tt15474916,8
ur83371412,tt15474916,3
ur67278807,tt0477348,10
ur0278527,tt0477348,9
ur4103165,tt0477348,8
ur28159509,tt0477348,8
ur65505616,tt0477348,8
ur23990121,tt0477348,10
ur1697212,tt0477348,7
ur2420383,tt0477348,9
ur0453068,tt0477348,10
ur0480585,tt0477348,10
ur1622466,tt0477348,8
ur1994077,tt0477348,7
ur1530907,tt0477348,6
ur2366009,tt0477348,1
ur14462724,tt0477348,5
ur12449122,tt0477348,10
ur0650655,tt0477348,3
ur20173820,tt0477348,9
ur1075696,tt0477348,10
ur2898520,tt0477348,8
ur7704831,tt0477348,10
ur19244813,tt0477348,9
ur13134536,tt0477348,10
ur0342623,tt0477348,1
ur0867063,tt0091251,10
ur4344252,tt0091251,10
ur0865972,tt0091251,10
ur4888011,tt0091251,10
ur10491760,tt0091251,10
ur0121336,tt0091251,9
ur0413600,tt0091251,10
ur10257171,tt0091251,10
ur6267301,tt0091251,10
ur1098460,tt0091251,10
ur0585703,tt0091251,9
ur0925512,tt0091251,8
ur3761369,tt0091251,10
ur1825656,tt0091251,8
ur1532177,tt0091251,10
ur4130201,tt0091251,10
ur1234929,tt0091251,9
ur31221670,tt0091251,10
ur2467618,tt0091251,9
ur6694944,tt0091251,10
ur3337048,tt0083929,8
ur1791470,tt0083929,9
ur0250256,tt0083929,10
ur0091680,tt0083929,5
ur3861132,tt0083929,10
ur1413110,tt0083929,8
ur0839067,tt0083929,10
ur0937743,tt0083929,7
ur3266090,tt0083929,8
ur2669471,tt0083929,6
ur2375356,tt0083929,9
ur2609601,tt0083929,8
ur0643062,tt0083929,5
ur69172350,tt0083929,10
ur1803589,tt0083929,10
ur3125036,tt0083929,8
ur1219578,tt0114814,10
ur0278527,tt0114814,9
ur0381265,tt0114814,9
ur3902771,tt0114814,10
ur3083014,tt0114814,6
ur5788055,tt0114814,10
ur1696608,tt0114814,10
ur0688559,tt0114814,8
ur15311310,tt0114814,8
ur28221379,tt0114814,10
ur89745032,tt0114814,10
ur47239035,tt0114814,6
ur16161013,tt0114814,10
ur0171876,tt0114814,8
ur1002035,tt0114814,10
ur3824745,tt0114814,10
ur24179951,tt0114814,8
ur2898520,tt0114814,10
ur1675955,tt0114814,9
ur10958226,tt0114814,10
ur2248099,tt0093177,10
ur2074560,tt0093177,10
ur1360747,tt0093177,10
ur20552756,tt0093177,8
ur2020269,tt0093177,10
ur0865972,tt0093177,10
ur8625456,tt0093177,9
ur1416505,tt0093177,8
ur1532177,tt0093177,10
ur1486405,tt0093177,10
ur0361658,tt0093177,8
ur2467618,tt0093177,9
ur1355507,tt0093177,7
ur22654354,tt0093177,9
ur3131494,tt0093177,10
ur1442165,tt0093177,10
ur0482513,tt0093177,8
ur95459254,tt0093177,10
ur4888011,tt0093177,10
ur11423174,tt0093177,8
ur2362867,tt0093177,10
ur69172350,tt0093177,8
ur1318549,tt0093177,8
ur2767381,tt0363771,9
ur20552756,tt0363771,7
ur4956921,tt0363771,10
ur3270789,tt0363771,7
ur19824448,tt0363771,8
ur2103334,tt0363771,8
ur0384847,tt0363771,8
ur8049104,tt0363771,10
ur2282567,tt0363771,8
ur0054462,tt0363771,10
ur6550739,tt0363771,6
ur1328109,tt0363771,10
ur7316163,tt0363771,9
ur3751335,tt0363771,8
ur2955724,tt0363771,7
ur1069062,tt0363771,7
ur0331792,tt0363771,10
ur8263256,tt0363771,6
ur1173088,tt0363771,8
ur115227177,tt0363771,10
ur4960738,tt0363771,9
ur3145988,tt0363771,10
ur1227639,tt0363771,1
ur2810983,tt0363771,8
ur0011762,tt2798920,8
ur13977076,tt2798920,8
ur20552756,tt2798920,7
ur15445210,tt2798920,7
ur15977902,tt2798920,9
ur58810493,tt2798920,4
ur58339844,tt2798920,7
ur30971888,tt2798920,6
ur34027110,tt2798920,8
ur18074616,tt2798920,1
ur11238371,tt2798920,4
ur0945066,tt2798920,4
ur15311310,tt2798920,8
ur85704852,tt2798920,5
ur19752191,tt2798920,8
ur77881167,tt2798920,8
ur53660798,tt2798920,5
ur35476777,tt2798920,1
ur45151376,tt2798920,1
ur3720069,tt2798920,5
ur2488512,tt2798920,1
ur23091881,tt2798920,3
ur22654354,tt2798920,4
ur57590728,tt2798920,9
ur54077131,tt4225622,7
ur57590728,tt4225622,9
ur2898520,tt4225622,8
ur82320098,tt4225622,8
ur8921055,tt4225622,8
ur32235533,tt4225622,7
ur0736655,tt4225622,8
ur28689400,tt4225622,7
ur0945066,tt4225622,7
ur57088858,tt4225622,8
ur66359155,tt4225622,6
ur6251613,tt4225622,7
ur71130488,tt4225622,9
ur74832005,tt4225622,7
ur94289145,tt4225622,7
ur80530482,tt4225622,7
ur92543438,tt4225622,7
ur1234929,tt4225622,7
ur131583309,tt4225622,9
ur29385135,tt4225622,7
ur66517869,tt4225622,8
ur55625626,tt4225622,9
ur49072633,tt4225622,7
ur34836174,tt4225622,10
ur12844960,tt4225622,7
ur3824745,tt0151804,9
ur0562732,tt0151804,9
ur89494061,tt0151804,9
ur1350313,tt0151804,8
ur2809796,tt0151804,9
ur20552756,tt0151804,9
